# A8 新アカウント URL 入力テンプレート
# 1行1プログラム、TAB区切り
# 第1列: ins_id（変更不要）
# 第2列: プログラム名（変更不要）
# 第3列: 新URL を A8 管理画面からコピーして貼り付け
#
# 取得方法:
#  1. A8.net にログイン
#  2. プログラム管理 > 提携中プログラム
#  3. 各プログラムの「広告リンク作成」or「広告コード」を開く
#  4. テキストリンクの URL（https://px.a8.net/svt/ejp?a8mat=... ）をコピー
#  5. このファイルの 3列目に貼り付け（旧URL は無視してOK）
#
# 提携承認されていないプログラムは「未承認」と書いてください
#
# 第3列に何も書かなければ、置換時にスキップ（旧URLが残ります）

ins_id	label	new_url
s00000015110002	エポスカード
s00000015135002	フタバ キャッシング
s00000015135001	フタバ レディースキャッシング
s00000014787001	セントラル キャッシング
s00000023883002	Vanilla Visa ギフトカード
s00000016469001	金券ねっと
s00000018733010	ラボル カード払い
s00000018733005	ラボル ファクタリング
s00000015923001	ETC協同組合 法人ETC
s00000015923003	ETC協同組合 法人ガソリン
s00000008928005	高速情報協同組合 法人ETC
s00000026555003	高速情報協同組合 法人ETC決定版
s00000013470008	d カード GOLD U
s00000015597014	スルガJCB
s00000026615001	PayCAS Mobile
s00000027217001	一括.jp
s00000027422001	EMEAO
s00000023727001	クレカリ賃貸
s00000012115008	バンドルカード
s00000012115029	バンドルカード(別)
s00000027494001	SkyeSiM
